oid,veto_date,label,n_points_alert,mag_min_alert,mag_max_alert,mag_p05_alert,mag_p25_alert,mag_p50_alert,mag_p75_alert,mag_p95_alert,excess_variance_alert,n_points_dr,mag_min_dr,mag_max_dr,mag_p05_dr,mag_p25_dr,mag_p50_dr,mag_p75_dr,mag_p95_dr,excess_variance_dr,distance_delight,hostsize
ZTF24abjdfnx,2024-09-25,bad,30.0,20.57119,25.96674919128418,20.790743732452395,21.0395188331604,22.10645198822021,23.296945095062256,25.36984329223633,0.0,3.0,20.57119,20.862,20.598251,20.706495,20.8418,20.8519,20.85998,0.0,1.3186860645064624,1.7449207305908203
ZTF24abjdfwl,,good,42.0,19.7608,26.651840209960938,19.86776065826416,19.98503964920044,20.37675457037353,22.73075056076049,24.64629259109497,0.0,7.0,19.7608,20.408918,19.813,19.95795,20.0497,20.1381265,20.3454926,0.0019498657522945,10.865743564027149,1.7401599884033203
ZTF24abjdgpw,,good,37.0,19.98335075378418,31.04696273803711,20.02230150742188,20.2572,20.796751022338867,23.4709415435791,27.11547317504882,0.0,8.0,20.000332,20.4678,20.02008355,20.121181,20.1857465,20.2572,20.39409,0.0,1.3449117900962502,2.009822368621826
ZTF24abjdyma,,good,18.0,20.088285446166992,24.81821250915528,20.10172781692505,20.25088860647583,20.62914752960205,21.519664764404297,22.83392210006713,0.0,5.0,20.1041,20.2905,20.12344,20.2008,20.227242,20.249582,20.282316400000003,0.0,2.4089702878252193,1.3406517505645752
ZTF24abjfblb,2024-10-12,bad,20.0,18.876865,22.380430221557617,18.97902135,19.065485522613525,19.33871162811279,19.841376781463623,21.15039758682251,0.4980986229357389,9.0,18.876865,19.663977,18.9198782,19.035418,19.249605,19.29932,19.6184666,0.0518083275503949,31.044927990885704,13.107784271240234
ZTF24abjfhjr,,good,9.0,19.571,20.049585342407227,19.59224,19.6713809967041,19.7371,19.84945,20.005519205444337,0.0,6.0,19.571,19.93942,19.584275,19.6523445,19.737089,19.8213625,19.9169275,0.0,41.28695425536739,4.060522556304932
ZTF24abjfnih,,good,25.0,20.239,25.976173400878903,20.255792999267577,20.33357620239257,21.10628890991211,22.79597282409668,25.531981277465817,0.0,4.0,20.239,20.4487,20.25488395,20.31841975,20.3616965,20.39605,20.43817,0.0,5.395353032833053,0.8775041103363037
ZTF24abjfuew,,good,78.0,18.263042,25.73307609558105,18.53001881617432,18.837910175323486,19.18259138305664,19.6005255,21.729162025451654,0.0,40.0,18.263042,20.02997,18.5306881,18.77475975,19.0760325,19.50302575,19.725515,0.1573174912033782,103.78540503373112,7.741426467895508
ZTF24abjfuhw,,good,10.0,19.096182,20.432710647583008,19.13478429342041,19.22369175,19.25988877734375,19.419959460418703,20.42699085617065,0.2173627878508813,6.0,19.096182,20.42,19.12707,19.22369175,19.2478495,19.33533125,20.15509925,0.2008777828872729,10.454021760821181,13.369012832641602
ZTF24abjfusl,,good,17.0,19.44831275939941,21.46492958068848,19.46373055187988,19.617758,19.898008346557617,20.11152076721192,21.13133125305175,0.2569428482114583,7.0,19.467585,20.012903,19.5094995,19.612529,19.7614,19.888119,20.0035361,0.0175651086273166,0.893221785062247,0.3613273799419403
ZTF24abjhwoa,,good,19.0,19.83541,23.45711708068848,20.201878821960445,20.68361473083496,21.33456993103028,22.100500106811523,22.752160453796385,0.40987956116164,1.0,19.83541,19.83541,19.83541,19.83541,19.83541,19.83541,19.83541,0.0,119.53110691638979,4.337545871734619
ZTF24abjhzyi,,good,27.0,20.210196,27.716514587402344,20.3780852,20.44687008996582,20.8208,22.035834312438965,24.011752700805665,0.0,9.0,20.210196,20.8208,20.2756376,20.388084,20.451262,20.4716,20.69384,0.0,1.099193300672171,1.2688496112823486
ZTF24abjibqy,2024-09-26,bad,41.0,20.4941,26.18476295471192,20.5148983001709,20.60166549682617,21.298236846923828,23.16817092895508,24.95120048522949,0.0,7.0,20.4941,20.7703,20.50163,20.52285,20.530334,20.6178055,20.7310684,0.0,2.991567480767453,1.873254656791687
ZTF24abjihcm,,good,58.0,19.382399,26.37553977966309,19.418193652404785,19.991706658447264,21.89820957183838,23.08177089691162,24.30744342803955,0.0,16.0,19.382399,20.588,19.41216725,19.63782125,19.8449135,20.1594915,20.54765,0.109320109478941,23.624262049900505,8.100162506103516
ZTF24abjihzs,,good,61.0,20.07699012756348,27.314594268798828,20.101444,20.25027,20.480546951293945,22.10272979736328,24.693649291992188,0.0,19.0,20.09546,20.5684,20.1008456,20.2132165,20.264467,20.418657,20.49757,0.0,65.16973338996821,5.579895496368408
ZTF24abjimjj,2024-09-27,bad,62.0,19.258939743041992,27.66707420349121,19.35506947123413,19.64078278436279,20.35065579772949,22.66578149795532,24.32555294036865,0.0,17.0,19.315151,20.7623,19.3469534,19.469112,19.8011,20.111324,20.483776,0.147370297911914,1.54905201701159,2.218287229537964
ZTF24abjinjf,,good,71.0,19.61569023132324,27.12115478515625,19.76531706042481,20.081212,20.435232162475582,21.995353698730472,23.66687297821045,0.0,23.0,19.64296,20.5176,19.6598947,19.9014705,20.087936,20.3343,20.46704,0.0192074979433122,10.075864076316707,1.5211504697799683
ZTF24abjiogp,,good,77.0,19.87641716003418,25.265121459960938,20.080846023559573,20.236588,20.345654,20.470299,22.834318161010746,0.0,28.0,20.145782,20.470299,20.1708623,20.24669275,20.3373245,20.38625675,20.46948405,0.0,18.316600447837043,1.440892219543457
ZTF24abjivrv,,good,34.0,20.140134811401367,25.18278884887696,20.23244204940185,20.628106690979003,21.765521049499515,23.740450382232662,24.64356775283813,0.0,5.0,20.185871,20.8442,20.2234768,20.3739,20.392555,20.6514,20.80564,0.0066756766510098,14.657830223736735,5.8812127113342285
ZTF24abjkgdc,2024-09-26,bad,18.0,19.980934143066406,24.401763916015625,20.00651392145996,21.05902528762817,22.40094375610352,23.580512046813965,24.35377340316773,0.0,1.0,20.011028,20.011028,20.011028,20.011028,20.011028,20.011028,20.011028,0.0,13.682326049614755,3.3917109966278076
ZTF24abjklze,,good,32.0,19.08018684387207,25.046220779418945,19.09068324331665,19.389812,19.90632915496826,21.37496042251587,23.396023654937743,0.0,13.0,19.092205,20.166,19.1189374,19.20945,19.496195,19.832104,20.02362,0.0865689494707722,4.208222257875397,3.2268028259277344
ZTF24abjlflk,,good,11.0,19.201719284057617,20.66864776611328,19.203666642028807,19.24689579010009,19.324257,20.191062927246094,20.56337642669678,0.2689729476197685,4.0,19.205614,19.601406,19.2144706,19.249897,19.2944575,19.39354425,19.55983365,0.0081694408407897,28.256771829091306,9.391617774963379
ZTF24abjlhsb,,good,5.0,19.865309,21.3449821472168,19.9305072,20.1913,20.38892936706543,20.42733764648437,21.16145324707032,0.0,2.0,19.865309,20.1913,19.88160855,19.94680675,20.0283045,20.10980225,20.17500045,0.0,1.6182020829611643,1.3370497226715088
ZTF24abjloyj,,good,45.0,20.056826,25.51168441772461,20.1399714,20.459,20.936918258666992,21.845672607421875,23.77018661499024,0.0,13.0,20.056826,20.9828,20.1064904,20.18458,20.3645,20.6638,20.89622,0.017678033860446,3.1349936869478108,1.1472026109695435
ZTF24abjlwiy,,good,40.0,19.10015296936035,24.04979515075684,19.148279504974365,19.53501773797608,20.279300731079104,21.98848056793213,23.426819324493408,0.0,10.0,19.14939,20.5948,19.1642823,19.256073,19.5086705,19.90449325,20.3278078,0.177266398515116,53.01165194527958,4.379340648651123
ZTF24abjlxqz,,good,32.0,19.994585037231445,25.67683982849121,20.03438217803955,20.308679574554446,20.91962432861328,23.122779369354248,24.829779624938965,0.0,5.0,20.0504,20.8441,20.0614,20.1054,20.148561,20.321249,20.7395298,0.0535412970157063,178.54767730014981,6.954728126525879
ZTF24abjmfht,,good,25.0,19.947734832763672,24.23931884765625,19.96900931308594,20.08234596252441,21.467330932617188,22.566631317138672,23.93259353637696,0.0,4.0,19.970367,20.263,19.9721784,19.979424,19.9831215,20.0536,20.221120000000003,0.0,22.66764327045812,1.4240527153015137
ZTF24abjnlpw,,good,25.0,20.0207576751709,23.931575775146484,20.101730190625,20.479639053344727,21.90893745422364,22.6418685913086,23.56111183166504,0.0,2.0,20.094631,20.4654,20.11316945,20.18732325,20.2800155,20.37270775,20.44686155,0.0,42.98366957219156,2.7345876693725586
ZTF24abjnvbt,,good,20.0,20.246307,23.956756591796875,20.6839932255188,21.593194484710697,22.05234336853028,22.964515209198,23.624790763854985,0.0,1.0,20.246307,20.246307,20.246307,20.246307,20.246307,20.246307,20.246307,0.0,62.26933131551272,3.9522287845611572
ZTF24abjnyrf,,good,58.0,20.92061233520508,30.550701141357425,21.067966607513423,21.19397936401367,21.342194763183592,22.035414218902588,23.698903656005857,0.0,18.0,20.998667,21.4461,21.05836505,21.11933125,21.23,21.28635975,21.4461,0.0,30.915777646560333,3.6009182929992676
ZTF24abjnyyw,2024-10-02,bad,49.0,20.1240177154541,24.347148895263672,20.39348439570313,20.571115,20.94436454772949,21.1141,23.3952564239502,0.0,19.0,20.395622,21.1978,20.4476168,20.5686965,20.607399,21.009837,21.1519,0.0282629371834688,7.680728203774731,3.22940993309021
ZTF24abjnzck,,good,31.0,20.44187355041504,23.40138816833496,20.471409797668457,20.63804532446289,20.75114631652832,21.436005592346195,22.801447868347168,0.0,4.0,20.614777,20.742996,20.61761365,20.62896025,20.642879,20.6748015,20.7293571,0.0,6.754508658532839,2.7176218032836914
ZTF24abjptnu,,good,28.0,20.237665,26.82967567443848,21.069154071807866,22.27052497863769,22.97402572631836,24.207142829895016,25.07973127365112,0.0,1.0,20.237665,20.237665,20.237665,20.237665,20.237665,20.237665,20.237665,0.0,47.697157764480814,2.4669456481933594
ZTF24abjpxea,,good,18.0,20.536919,24.355607986450195,20.76682785,21.03268003463745,21.43931198120117,22.671518802642822,23.63345947265625,0.0,3.0,20.536919,20.9476,20.5639671,20.6721595,20.8074,20.8775,20.933580000000003,0.0,7.294248411369869,1.8716741800308228
ZTF24abjqbpj,2024-09-28,bad,27.0,19.89437866210937,25.93260765075684,20.11697575561524,20.42445373535156,20.74123764038086,22.99503612518311,25.347443962097167,0.0,2.0,20.1156,20.185797,20.11910985,20.13314925,20.1506985,20.16824775,20.18228715,0.0,5.140326234974662,2.452707529067993
ZTF24abjqrvk,2024-10-31,bad,117.0,19.81619453430176,24.313453674316406,20.06635606201172,20.217021942138672,20.46423721313477,20.7023,21.014599609375,0.0,27.0,19.908703,20.8046,20.04083,20.1412395,20.3161,20.50745,20.70265,0.0,1.4139622177930864,1.8237377405166626
ZTF24abjqxnc,,good,33.0,19.8293514251709,23.746946334838867,19.834983917138672,20.336864471435547,21.074928283691406,22.019325256347656,22.9256275177002,0.3792011641317053,4.0,19.834944,20.4844,19.86607155,19.99058175,20.0741535,20.2004845,20.4276169,0.0192401828533433,2.1034792811669334,6.657927989959717
ZTF24abjrcrr,,good,13.0,19.46743392944336,20.13879776000977,19.486013571777345,19.5978,19.7216,19.82601,20.036701583862307,0.0,11.0,19.4984,19.9368,19.532713,19.6144,19.7216,19.75135,19.881405,0.0,1.4138201458294657,1.454810380935669
ZTF24abjrdxb,,good,51.0,18.060413,23.29185485839844,18.108654782958983,18.32678029614258,18.777658,19.197675,21.16775608062744,0.857125315571023,25.0,18.060413,19.793652,18.090975,18.224575,18.71719,18.876795,19.6988076,0.2529041239673775,5.454406840101887,8.486010551452637
ZTF24abjsdsv,2024-09-28,bad,76.0,18.6552734375,24.21117782592773,18.701509475708008,19.081179749603272,19.6876895,22.035785675048835,23.79482316970825,1.4529130622785538,24.0,18.695066,20.3207,18.7139029,18.79906925,19.209901,19.576553,20.25708625,0.2310147589667643,2.3733859571968527,4.575447082519531
ZTF24abjsell,,good,25.0,19.954763,27.01859474182129,19.972715622680663,20.63310813903809,22.02310371398925,23.59284019470215,25.77156867980957,0.0,4.0,19.954763,20.6386,19.95614255,19.96166075,20.2355085,20.53994275,20.61886855,0.0910272976599738,7.784595949763525,2.065103530883789
ZTF24abjurxw,,good,35.0,20.34540748596192,27.387569427490234,20.492711067199707,20.70870399475097,21.19485664367676,21.929011344909668,23.24184551239013,0.0,4.0,20.652851,20.880346,20.65809155,20.67905375,20.7491705,20.82800125,20.86987705,0.0,8.180727391520593,4.55812931060791
ZTF24abjuvlf,2024-09-29,bad,61.0,19.5656,23.64569854736328,19.836688995361328,19.95081,19.993008,20.38207626342773,23.330949783325195,0.0,23.0,19.5656,20.12688,19.850203800000003,19.9220425,19.97181,20.001829,20.1159061,0.0,35.62259827998044,1.8559563159942627
ZTF24abjuvmf,,good,53.0,20.920816,24.99389839172364,21.0792632,21.17126846313477,21.29949951171875,22.24251937866211,24.15431251525879,0.0,14.0,20.920816,21.278847,20.9894612,21.088031,21.133049,21.20708925,21.2483672,0.0,25.67775031442972,2.5191898345947266
ZTF24abjwthw,,good,28.0,20.38138198852539,25.9404411315918,20.40656296569824,20.56904755249024,20.876208305358887,22.49263906478882,25.68755407333374,0.0,5.0,20.4028,20.616392,20.42686,20.5231,20.5579,20.5727,20.607653600000003,0.0,28.844398850386987,5.373377323150635
